INV_NO;DEPTO;OFICINA_NO;AUXILIAR;PARTIDA_NO;COD_ENTIDAD;COD_ANTIGUO;SERIE;DESCRIPCION;ESTADO;GEOGRAFICA;ESPECIFICA;EMP_NO;PROCEDENCIA;FECHA_INGRESO;OBSERVACIONES
AF-17;LA PAZ;OF-11;MONITOR;PART-05;20505010176;SIN CODIGO;ZYGN4LD804532R;MONITOR MARCA SAMSUNG MOD. S19C150F;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-18;LA PAZ;OF-11;CPU;PART-05;20505020169;SIN CODIGO;-;CPU MARCA SURE MOD. SURE CON LECTOR DVD;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-19;LA PAZ;OF-11;TECLADO;PART-06;20506020162;SIN CODIGO;-;TECLADO MARCA SURE MOD. SURE KB578;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-20;LA PAZ;OF-11;GABINETE;PART-01;21001150001;SIN CODIGO;-;GABINETE METALICO MARCA ROWLAND C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;ENTIDAD;31/3/2015;-
AF-21;LA PAZ;OF-11;MOUSE;PART-06;20506030195;SIN CODIGO;-;MOUSE MARCA SURE MOD. SURE;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-22;LA PAZ;OF-11;ESCRITORIO;PART-01;21001010003;SIN CODIGO;-;"ESCRITORIO EN ""L"" CON UNA CAJONERA DE 3 CAJONES C. PLOMO";BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;DESCRIPCION, LUGAR DE UBICACIÓN
AF-23;LA PAZ;OF-11;GAVETERO;PART-01;21001020001;01-13-02-0264;-;GAVETERO  METALICO DE 21 GAVETAS C. PLOMO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;-
AF-24;LA PAZ;OF-11;GAVETERO;PART-01;21001020003;01-13-02-0267;-;GAVETERO METALICO DE 4 GAVETAS C. PLOMO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;-
AF-25;LA PAZ;OF-11;SILLA;PART-01;21001030002;SIN CODIGO;-;SILLA DE ESTRUCTURA METALICA CON APOYA BRAZOS C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-26;LA PAZ;OF-11;SILLA;PART-01;21001030017;SIN CODIGO;-;SILLA DE ESTRUCTURA METALICA CON APOYA BRAZOS C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-27;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;S 08.09.14;-;SILLA DE ESTRUCTURA METALICA CON APOYA BRAZOS C. NEGRO;MALO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-28;LA PAZ;OF-11;SILLA;PART-01;21001030004;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-29;LA PAZ;OF-11;SILLA;PART-01;21001030007;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-30;LA PAZ;OF-11;SILLA;PART-01;21001030011;01-114-4311-21-0884;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-31;LA PAZ;OF-11;SILLA;PART-01;21001030013;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-32;LA PAZ;OF-11;MESA;PART-01;21001060001;SIN CODIGO;-;MESA METALICA GRANDE TAPIZ DE TELA C. CAFE;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;-
AF-33;LA PAZ;OF-11;ROUTERS;PART-02;21001150001;SIN CODIGO;-;ROUTER MARCA CISCO MOD. 800 SERIES;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-34;LA PAZ;OF-11;SWITCH;PART-02;21002080001;SIN CODIGO;-;SWITCH DE 16 PUERTOS MARCA TP-LINK  MOD. TL-SF1016DS;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JEFE DE OFICINA;E-01;ENTIDAD;31/3/2015;-
AF-35;LA PAZ;OF-11;PACH PANEL;PART-02;21002130001;SIN CODIGO;-;PACH PANEL MARCA ROWLAND DE 24 PUERTOS;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JEFE DE OFICINA;E-01;ENTIDAD;31/3/2015;-
AF-36;LA PAZ;OF-13;LAPTOP;PART-05;21005030002;01-111-4312-01-0603;JZ5DYJ1;LAPTOP MARCA DELL INSPIRON MOD. PP41L;BUENO;CALLE BOLIVAR S/N;PISO 4;E-01;PCG;31/3/2015;-
AF-37;LA PAZ;OF-11;ESCANERS;PART-05;21005040001;01-111-4312-05-0078;CN4BHT0329;ESCANER MARCA HP MOD. SCANJET 8250;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;PCG;31/3/2015;-
AF-38;LA PAZ;OF-11;IMPRESORA;PART-05;21010100001;CNE-FIM-1424;LPGA235305;IMPRESORA MARCA CANON MOD. LBP3000;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-39;LA PAZ;OF-11;SILLA;PART-01;21001030015;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-40;LA PAZ;OF-11;MOUSE;PART-06;SIN CODIGO;SIN CODIGO;-;MOUSE MARCA DELUX MOD. M363 C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-41;LA PAZ;OF-11;SILLA;PART-01;21001030008;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-42;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-43;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;03114-4311-21-0295;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-44;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;21001030012;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-45;LA PAZ;OF-11;MAQUINA DE ESCRIBIR;PART-01;SIN CODIGO;01.13.02.02.68;-;MAQUINA DE ESCRIBIR MARCA OLIVETTI;REGULAR;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;PARA DAR DE BAJA
AF-46;LA PAZ;OF-11;GAVETERO;PART-01;SIN CODIGO;01-13-02-0265;-;GAVETERO  METALICO DE 14 GAVETAS C. PLOMO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;-
AF-47;LA PAZ;OF-11;MESA;PART-01;SIN CODIGO;01-13-02-0271;-;MESA DE MADERA CON 1 CAJON C. ROBLE;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;-
AF-48;LA PAZ;OF-11;MAQUINA DE ESCRIBIR;PART-01;SIN CODIGO;20.13.03.0079;-;MAQUINA DE ESCRIBIR MARCA OLIVETTI;REGULAR;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;POL;31/3/2015;PARA DAR DE BAJA
AF-49;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;MALO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-50;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-51;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-52;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-53;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-54;LA PAZ;OF-11;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA PLASTICA CON APOYA BRAZOS ROJO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;SALA DE ESPERA;E-01;PCG;31/3/2015;-
AF-55;LA PAZ;OF-11;PLASTIFICADORAS;PART-03;21003170002;02-114-4312-03-0134;-;PLASTIFICADORA MARCA UYUS MOD. POWER SLU 320;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;PCG;31/3/2015;-
AF-56;LA PAZ;OF-11;PLASTIFICADORAS;PART-03;20103170208;SIN CODIGO;-;PLASTIFICADORA MARCA UYUS MOD. POWER SLU 320;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-57;LA PAZ;OF-11;SILLA;PART-01;20301040125;SIN CODIGO;-;SILLON GIRATORIO SEMI EJECUTIVO CON APOYA BRAZOS Y TAPIZ DE TELA C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-58;LA PAZ;OF-11;ESTUFA;PART-03;20303090007;SIN CODIGO;11-MGF-1345;ESTUFA MAGEFESA MODELO WARM;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-59;LA PAZ;OF-11;CPU;PART-05;20310100029;CNE-FPC-1587;JY7FKK1;CPU MARCA DELL INTEL CORE 2 DUO 3M E7000, MEMORIA RAM. 2GB D. DURO 160 GB. MOD. OPTIPLEX 360;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-60;LA PAZ;OF-11;ESCRITORIO;PART-01;21001010001;SIN CODIGO;-;"ESCRITORIO EN ""L"" CON UNA CAJONERA DE 3 CAJONES C. PLOMO";BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-61;LA PAZ;OF-11;ESTABILIZADOR;PART-03;21010100001;CNE-FRG 1424;-;REGULADOR DE VOLTAJE MARCA OMEGA MOD. PCG-1200;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-62;LA PAZ;OF-11;CAMARA FOTOGRAFICA;PART-03;21010100001;CNE-FCD-1424;CAM01259;CAMARA DIGITAL MARCA CANON MOD. SX110IS;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-63;LA PAZ;OF-11;MONITOR;PART-05;21010100001;CNE-FMT-1424;CN-0R034G-64180-95T-25SU;"MONITOR MARCA DELL LCD DE 19"" MOD. E1909Wf";BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-64;LA PAZ;OF-11;TECLADO;PART-06;21010100001;CNE-FTC-1424;CN-0DJ415-71616-954-04H4;TECLADO MARCA DELL MOD. SK-8115 C.NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-65;LA PAZ;OF-11;TRIPODE;PART-01;21010100001;SIN CODIGO;-;TRIPODE DE CAMARA FOTOGRAFICA DE ALUMINIO C. PLOMO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-66;LA PAZ;OF-11;FUNJIBLE;PART-06;21010100001;SIN CODIGO;-;CABLE EXTENCION DE 6 MTS. C. AMARILLO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-67;LA PAZ;OF-11;MOUSE;PART-06;21010100001;SIN CODIGO;0L02H0H;MOUSE MARCA DELL MOD. DP/N:0XN967;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-68;LA PAZ;OF-11;BANCA;PART-01;SIN CODIGO;01.13.02.0272;-;TABURETE DE MADERA C. ROBLE;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-69;LA PAZ;OF-11;UPS;PART-05;SIN CODIGO;BP 505711;-;UPS MARCA POWER MOD. SC 1000;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-70;LA PAZ;OF-11;TESTER;PART-06;SIN CODIGO;SIN CODIGO;-;TESTER DIGITAL MARCA ROWLAND MOD. M464;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;ARCHIVO;E-01;ENTIDAD;31/3/2015;-
AF-71;LA PAZ;OF-11;SOPLADOR;PART-03;SIN CODIGO;SIN CODIGO;-;SOLPLADOR MARCA POWERMAQ;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-72;LA PAZ;OF-11;MALETA;PART-03;SIN CODIGO;SIN CODIGO;-;MALETA DE HERRAMIENTAS MARCA TRUPER C. NARANJA CONTIENE 1 SIERRA MECANICA, 1 MARTILLO, 5 DESARMADORES, 3 ALICATES 1 PONCHADOR DE RED;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-73;LA PAZ;OF-11;IMPRESORA;PART-05;20505050458;SIN CODIGO;S6BK054970;IMPRESORA MARCA EPSON EXPRESSION MOD. XP-211;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
AF-74;LA PAZ;OF-12;CAMARA FOTOGRAFICA;PART-03;21110100002;CNE-FCD-1612;CAM2210;CAMARA DIGITAL MARCA CANON MOD. SX110IS;REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-75;LA PAZ;OF-12;ESCRITORIO;PART-01;SIN CODIGO;SIN CODIGO;-;CATRE DE MADERA;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-76;LA PAZ;OF-12;ESCRITORIO;PART-01;SIN CODIGO;SIN CODIGO;-;CATRE DE MADERA;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-77;LA PAZ;OF-12;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;CATRE DE METAL;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;-
AF-78;LA PAZ;OF-12;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;CATRE DE METAL;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;-
AF-79;LA PAZ;OF-12;CPU;PART-05;21110100009;CNE-FPC-1612;-;CPU MARCA DELL INTEL CORE 2 DUO 3M E7000, MEMORIA RAM. 2GB D. DURO 160 GB. MOD. OPTIPLEX 360;REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-80;LA PAZ;OF-12;HUBS;PART-02;21110100002;CNE-FHB-1614;-;HUB USB MARCA IOGEAR MOD. GUH285 DE 4 PUERTOS DE ALIMENTACION;REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-81;LA PAZ;OF-12;IMPRESORA;PART-05;20505050358;SIN CODIGO;S6BK054000;IMPRESORA MARCA EPSON EXPRESSION MOD. XP-211;BUENO;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-82;LA PAZ;OF-12;MAQUINA DE ESCRIBIR;PART-01;SIN CODIGO;RA 39082;643363256;MAQUINA DE ESCRIBIR MARCA FACIT;MALO;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-83;LA PAZ;OF-12;MAQUINA DE ESCRIBIR;PART-01;SIN CODIGO;PCGDIP33/1044;-;MAQUINA DE ESCRIBIR MARCA OLIMPIA CARINA 3 EN ESTUCHE C. NEGRO;MALO;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-84;LA PAZ;OF-12;MESA;PART-01;SIN CODIGO;SIN CODIGO;-;MESA DE MADERA C. CAFÉ;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;-
AF-85;LA PAZ;OF-12;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;MESA DE MADERA C. CAFÉ;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;-
AF-86;LA PAZ;OF-12;MESA;PART-01;SIN CODIGO;SIN CODIGO;-;MESA DE MADERA C. CAFÉ;REGULAR;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-87;LA PAZ;OF-12;MONITOR;PART-05;21110100002;CNE-FMT-1612;CN-0Y858D-72872-96A-41LL;"MONITOR MARCA DELL LCD DE 19"" MOD. E1909Wf";REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-88;LA PAZ;OF-12;MOUSE;PART-06;SIN CODIGO;SIN CODIGO;-;MOUSE MARCA DELL MOD. DP/N:0XN967;REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-89;LA PAZ;OF-12;PLASTIFICADORA;PART-03;21103170002;SIN CODIGO;-;PLASTIFICADORA MARCA LAMINADOR;MALO;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-90;LA PAZ;OF-12;PLASTIFICADORA;PART-03;20503170091;SIN CODIGO;-;PLASTIFICADORA MARCA UYUS MOD. POWER SLU 320;REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-91;LA PAZ;OF-12;FUNJIBLE;PART-06;21110100002;CNE-FRG-1612;-;REGULADOR DE VOLTAJE MARCA OMEGA  MOD. PCG1200;REGULAR;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
AF-92;LA PAZ;OF-12;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA DE ESTRUCTURA METALICA TAPIZ DE TERLA VERDE;MALO;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-93;LA PAZ;OF-12;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA DE ESTRUCTURA METALICA TAPIZ DE TERLA VERDE;MALO;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-94;LA PAZ;OF-12;SILLA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA DE ESTRUCTURA METALICA TAPIZ DE TERLA VERDE;MALO;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-95;LA PAZ;OF-12;MESA;PART-01;SIN CODIGO;SIN CODIGO;-;SILLA DE MADERA DE COLOR CAFÉ CON FUNDA GUIDA;MALO;PLAZA LIBERTAD;DEPOSITO;E-05;POL;31/3/2015;PARA DAR DE BAJA
AF-96;LA PAZ;OF-12;SILLA;PART-01;20301040185;SIN CODIGO;-;SILLA GIRATORIA TAPIZ NEGRO CON APOYA BRAZOS;BUENO;PLAZA LIBERTAD;OPERACIONES MESA Nº 2;E-05;ENTIDAD;31/3/2015;-
